Service Request Type,Year,Month,Request Count,lag,Rolling_Mean,Rolling_Std
ADA Request (Transportation),2021,1,3,0,3.0,0.0
Abandoned Vehicle,2021,1,3,3,3.0,0.0
Animal Noise,2021,1,23,3,9.666666666666666,11.547005383792515
Business Related Complaint,2021,1,12,23,12.666666666666666,10.01665280087781
Business Violation of Public Health Requirements,2021,1,48,12,27.666666666666668,18.44812546936228
Clogged Storm Drain,2021,1,295,48,118.33333333333333,154.05302117561126
Damaged Sidewalk,2021,1,85,295,142.66666666666666,133.21536447922716
Dead Animal,2021,1,73,85,151.0,124.85191228010889
General Inquiry - Animal Shelter,2021,1,37,73,65.0,24.979991993593664
General Inquiry - City Light,2021,1,278,37,129.33333333333334,130.0012820449604
General Inquiry - Customer Service Bureau,2021,1,1339,278,551.3333333333334,692.7007530913572
General Inquiry - Police Department,2021,1,66,1339,561.0,682.0549831208625
General Inquiry - Public Utilities,2021,1,142,66,515.6666666666666,714.0394480232401
General Inquiry - Transportation,2021,1,510,142,239.33333333333334,237.46438329428105
Graffiti,2021,1,1839,510,830.3333333333334,892.6994641722002
Illegal Dumping / Needles,2021,1,2308,1839,1552.3333333333333,932.6490944258368
Internet/Cable Issue,2021,1,72,2308,1406.3333333333333,1179.120152203894
Overgrown Vegetation,2021,1,125,72,835.0,1275.9306407481563
Parking Enforcement,2021,1,1263,125,486.6666666666667,672.8464411240758
Parks and Recreation Maintenance,2021,1,1,1263,463.0,695.5889590843151
Pollution Report Form,2021,1,5,1,423.0,727.4640884607302
Pothole,2021,1,940,5,315.3333333333333,540.9808992315111
Public Garage or Parking Lot Complaint,2021,1,1,940,315.3333333333333,540.9808992315111
Public Litter and Recycling Cans,2021,1,1,1,314.0,542.1319027690595
Safe Routes to School,2021,1,4,1,2.0,1.73205080785453
Scooter or Bike Share Issue,2021,1,108,4,37.666666666666664,60.9289203361944
Street Sign and Traffic Signal Maintenance,2021,1,567,108,226.33333333333334,299.57358584049814
Streetlight Maintenance,2021,1,386,567,353.6666666666667,231.20193194118062
Towing Impound Complaint,2021,1,7,386,320.0,285.77438653595425
Traffic Calming,2021,1,2,7,131.66666666666666,220.2733150731934
ADA Request (Transportation),2021,2,2,2,3.6666666666666665,2.8867513461207888
Abandoned Vehicle,2021,2,6,2,3.3333333333333335,2.309401076974332
Animal Noise,2021,2,19,6,9.0,8.88819441737165
Business Related Complaint,2021,2,8,19,11.0,7.000000000071176
Business Violation of Public Health Requirements,2021,2,33,8,20.0,12.52996408618141
Clogged Storm Drain,2021,2,178,33,73.0,91.7877987534345
Damaged Sidewalk,2021,2,58,178,89.66666666666667,77.5134396948963
Dead Animal,2021,2,70,58,102.0,66.09084656744072
General Inquiry - Animal Shelter,2021,2,53,70,60.333333333333336,8.736894948111122
General Inquiry - City Light,2021,2,196,53,106.33333333333333,78.11743296687574
General Inquiry - Customer Service Bureau,2021,2,1076,196,441.6666666666667,553.9822500164913
General Inquiry - Police Department,2021,2,65,1076,445.6666666666667,549.8002667636079
General Inquiry - Public Utilities,2021,2,105,65,415.3333333333333,572.503566218879
General Inquiry - Transportation,2021,2,462,105,210.66666666666666,218.5779799827382
Graffiti,2021,2,1381,462,649.3333333333334,658.3041343735692
Illegal Dumping / Needles,2021,2,1742,1381,1195.0,659.9598472634536
Internet/Cable Issue,2021,2,86,1742,1069.6666666666667,870.7929336721414
Overgrown Vegetation,2021,2,149,86,659.0,938.4343344102458
Parking Enforcement,2021,2,1178,149,471.0,613.0897161101311
Parks and Recreation Maintenance,2021,2,112,1178,479.6666666666667,605.057297562251
Pollution Report Form,2021,2,7,112,432.3333333333333,647.8968539307275
