Service Request Type,Year,Month,Predicted Request Count,Model
ADA Request (Transportation),2025,5,114.47727272726479,Linear Regression
ADA Request (Transportation),2025,6,127.56818181817653,Linear Regression
ADA Request (Transportation),2025,7,140.65909090908826,Linear Regression
Abandoned Vehicle,2025,5,669.8631746031745,Random Forest
Abandoned Vehicle,2025,6,683.0092777777776,Random Forest
Abandoned Vehicle,2025,7,639.2908055555552,Random Forest
Animal Noise,2025,5,669.8631746031745,Random Forest
Animal Noise,2025,6,683.0092777777776,Random Forest
Animal Noise,2025,7,639.2908055555552,Random Forest
Business Related Complaint,2025,5,114.47727272726479,Linear Regression
Business Related Complaint,2025,6,127.56818181817653,Linear Regression
Business Related Complaint,2025,7,140.65909090908826,Linear Regression
Business Violation of Public Health Requirements,2025,5,4.9516908346712825,LightGBM
Business Violation of Public Health Requirements,2025,6,4.9516908346712825,LightGBM
Business Violation of Public Health Requirements,2025,7,5.8840573897298745,LightGBM
Clogged Storm Drain,2025,5,114.47727272726479,Linear Regression
Clogged Storm Drain,2025,6,127.56818181817653,Linear Regression
Clogged Storm Drain,2025,7,140.65909090908826,Linear Regression
Damaged Sidewalk,2025,5,114.47727272726479,Linear Regression
Damaged Sidewalk,2025,6,127.56818181817653,Linear Regression
Damaged Sidewalk,2025,7,140.65909090908826,Linear Regression
Dead Animal,2025,5,114.47727272726479,Linear Regression
Dead Animal,2025,6,127.56818181817653,Linear Regression
Dead Animal,2025,7,140.65909090908826,Linear Regression
General Inquiry - Animal Shelter,2025,5,43.07984161376953,XGBoost
General Inquiry - Animal Shelter,2025,6,43.07984161376953,XGBoost
General Inquiry - Animal Shelter,2025,7,43.07984161376953,XGBoost
General Inquiry - City Light,2025,5,114.47727272726479,Linear Regression
General Inquiry - City Light,2025,6,127.56818181817653,Linear Regression
General Inquiry - City Light,2025,7,140.65909090908826,Linear Regression
General Inquiry - Customer Service Bureau,2025,5,114.47727272726479,Linear Regression
General Inquiry - Customer Service Bureau,2025,6,127.56818181817653,Linear Regression
General Inquiry - Customer Service Bureau,2025,7,140.65909090908826,Linear Regression
General Inquiry - Police Department,2025,5,114.47727272726479,Linear Regression
General Inquiry - Police Department,2025,6,127.56818181817653,Linear Regression
General Inquiry - Police Department,2025,7,140.65909090908826,Linear Regression
General Inquiry - Public Utilities,2025,5,114.47727272726479,Linear Regression
General Inquiry - Public Utilities,2025,6,127.56818181817653,Linear Regression
General Inquiry - Public Utilities,2025,7,140.65909090908826,Linear Regression
