Service Request Type,Predicted Request Count
ADA Request (Transportation),382.7045454545296
Abandoned Vehicle,1992.163257936507
Abandoned Vehicle/72hr Parking Ordinance,1992.163257936507
Animal Noise,1992.163257936507
Bicycle Facility Maintenance,382.7045454545296
Business Related Complaint,382.7045454545296
Business Violation of Public Health Requirements,15.78743905907244
Clogged Storm Drain,382.7045454545296
Damaged Sidewalk,382.7045454545296
Dead Animal,382.7045454545296
Feedback about the Customer Service Requests Portal,382.7045454545296
"Feedback about the Find It, Fix It mobile app",382.7045454545296
Found a Pet,382.7045454545296
General Inquiry - Animal Shelter,129.2395248413086
General Inquiry - City Light,382.7045454545296
General Inquiry - Customer Service Bureau,382.7045454545296
General Inquiry - Police Department,382.7045454545296
General Inquiry - Public Utilities,382.7045454545296
General Inquiry - Transportation,382.7045454545296
Graffiti,382.7045454545296
Illegal Dumping / Needles,382.7045454545296
Internet/Cable Issue,1992.163257936507
Lost a Pet,382.7045454545296
Nightlife Noise Complaint,129.2395248413086
Nuisance dogs in a park,382.7045454545296
Overgrown Vegetation,129.2395248413086
Parking Enforcement,382.7045454545296
Parks and Recreation Maintenance,382.7045454545296
Pollution Report Form,15.78743905907244
Pothole,129.2395248413086
Public Garage or Parking Lot Complaint,382.7045454545296
Public Litter and Recycling Cans,382.7045454545296
Safe Routes to School,382.7045454545296
Scooter or Bike Share Issue,1992.163257936507
Snow and Ice,129.2395248413086
Street Sign Maintenance,1992.163257936507
Street Sign and Traffic Signal Maintenance,382.7045454545296
Streetlight Maintenance,1992.163257936507
Towing Complaint - Public Impound,15.78743905907244
Towing Impound Complaint,382.7045454545296
Traffic Calming,382.7045454545296
Traffic Signal Maintenance,382.7045454545296
Unauthorized Encampment,382.7045454545296
Wireless or Small Cell Issue,1992.163257936507
